date,subject,predicate,object,extracted_entities
2023-01-01,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",reduces imports,foreign currency crisis and devaluation,"[{'name': 'foreign currency crisis', 'label': 'Economic Crisis'}, {'name': 'devaluation', 'label': 'Exchange Rate Policy'}]"
2023-07-19,The difference between country-wide imports and exports.,contributed to growth,strong net exports,"[{'name': 'strong', 'label': 'Qualitative Modifier'}, {'name': 'net exports', 'label': 'Macroeconomic Indicator'}]"
2023-02-05,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",disrupts imports,War disrupts supply chains,"[{'name': 'War', 'label': 'Geopolitical Event'}, {'name': 'disrupts', 'label': 'Causal Mechanism'}, {'name': 'supply chains', 'label': 'Supply Chain'}]"
2023-05-14,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",halts purchases,refuse purchases under sanctions,"[{'name': 'refuse', 'label': 'Action'}, {'name': 'purchases', 'label': 'Commercial Activity'}, {'name': 'refuse purchases', 'label': 'Procurement Decision'}, {'name': 'sanctions', 'label': 'Restrictive Measure'}, {'name': 'under sanctions', 'label': 'Legal Status'}, {'name': 'under', 'label': 'Conditional Relation'}, {'name': 'refuse purchases under sanctions', 'label': 'Compliance Policy'}]"
2023-06-07,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",increases import buying price,depreciation raises buying price,"[{'name': 'depreciation', 'label': 'Macroeconomic Indicator'}, {'name': 'raises', 'label': 'Causal Mechanism'}, {'name': 'buying price', 'label': 'Price Metric'}]"
2023-06-14,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",restricts imports,dollar crunch limits LCs,"[{'name': 'dollar crunch', 'label': 'Currency Shortage'}, {'name': 'limits', 'label': 'Constraint'}, {'name': 'LCs', 'label': 'Financial Instrument'}]"
2023-06-14,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",aggravates currency crisis,power sector aggravates dollar,"[{'name': 'power sector', 'label': 'Industry Sector'}, {'name': 'aggravates', 'label': 'Causal Mechanism'}, {'name': 'dollar', 'label': 'Currency'}]"
2023-01-02,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",reduces imports,currency crisis hampers imports,"[{'name': 'currency crisis', 'label': 'Economic Crisis'}, {'name': 'currency', 'label': 'Monetary Unit'}, {'name': 'crisis', 'label': 'Economic Crisis'}, {'name': 'imports', 'label': 'International Trade'}, {'name': 'hampers', 'label': 'Causal Mechanism'}]"
2023-06-19,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",commits to import,LNG import agreement signed,"[{'name': 'LNG', 'label': 'Raw Material'}, {'name': 'import', 'label': 'Trade Action'}, {'name': 'agreement', 'label': 'Legal Instrument'}, {'name': 'signed', 'label': 'Event'}, {'name': 'LNG import agreement', 'label': 'Legal Instrument'}]"
2023-02-24,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",increases imports,Government measures increased imports,"[{'name': 'Government measures', 'label': 'Public Policy'}, {'name': 'increased', 'label': 'Directional Change'}, {'name': 'imports', 'label': 'Trade Flow'}]"
2023-06-07,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",reduces import pressure,call for import substitution,"[{'name': 'call for', 'label': 'Policy Demand'}, {'name': 'import substitution', 'label': 'Economic Policy'}]"
2023-06-04,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",disrupts import flows,imports disrupted by crisis,"[{'name': 'imports', 'label': 'Trade Flow'}, {'name': 'disrupted', 'label': 'Disruption'}, {'name': 'crisis', 'label': 'Crisis'}, {'name': 'disrupted by', 'label': 'Causal Mechanism'}]"
2023-06-05,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",drives up import costs,taka depreciation raises import costs,"[{'name': 'taka', 'label': 'Currency'}, {'name': 'taka depreciation', 'label': 'Macroeconomic Indicator'}, {'name': 'import costs', 'label': 'Trade Cost'}, {'name': 'raises', 'label': 'Causal Mechanism'}]"
2023-02-15,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",prevents LC opening,dollar crisis blocked LC,"[{'name': 'dollar crisis', 'label': 'Currency Crisis'}, {'name': 'dollar', 'label': 'Currency'}, {'name': 'crisis', 'label': 'Economic Crisis'}, {'name': 'blocked', 'label': 'Operational Disruption'}, {'name': 'LC', 'label': 'Financial Instrument'}, {'name': 'Letter of Credit', 'label': 'Financial Instrument'}]"
2023-04-06,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",accelerates energy imports,draft plan accelerates imports,"[{'name': 'draft plan', 'label': 'Policy Measure'}, {'name': 'accelerates', 'label': 'Causal Action'}, {'name': 'imports', 'label': 'Trade Flow'}, {'name': 'accelerates imports', 'label': 'Trade Trend'}]"
2023-04-06,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",necessitates LNG imports,domestic fuel insufficiency,"[{'name': 'domestic fuel insufficiency', 'label': 'Energy Shortage'}, {'name': 'fuel insufficiency', 'label': 'Energy Shortage'}, {'name': 'fuel', 'label': 'Energy Commodity'}, {'name': 'insufficiency', 'label': 'Supply Shortage'}, {'name': 'domestic', 'label': 'Geographic Scope'}]"
