fact_id,event_instance_id,active_date
FACT_000000,EVENT__foreign_currency_crisis_and_devaluation__2023-01-01,2023-01-01
FACT_000021,EVENT__currency_crisis_reduces_imports__2023-01-01,2023-01-01
FACT_000025,EVENT__currency_crisis_affecting_imports__2023-01-01,2023-01-01
FACT_000007,EVENT__currency_crisis_hampers_imports__2023-01-02,2023-01-02
FACT_000002,EVENT__war_disrupts_supply_chains__2023-02-05,2023-02-05
FACT_000013,EVENT__lc_allowed_import__2023-02-15,2023-02-15
FACT_000014,EVENT__dollar_crisis_blocked_lc__2023-02-15,2023-02-15
FACT_000027,EVENT__banks_refuse_lcs__2023-02-23,2023-02-23
FACT_000009,EVENT__government_measures_increased_imports__2023-02-24,2023-02-24
FACT_000018,EVENT__government_measures_increased_imports__2023-02-24,2023-02-24
FACT_000015,EVENT__draft_plan_accelerates_imports__2023-04-06,2023-04-06
FACT_000016,EVENT__domestic_fuel_insufficiency__2023-04-06,2023-04-06
FACT_000003,EVENT__refuse_purchases_under_sanctions__2023-05-14,2023-05-14
FACT_000017,EVENT__reserves_fall_curbs_imports__2023-05-16,2023-05-16
FACT_000019,EVENT__higher_regulatory_duties__2023-06-01,2023-06-01
FACT_000020,EVENT__container_duty_reduction__2023-06-01,2023-06-01
FACT_000011,EVENT__imports_disrupted_by_crisis__2023-06-04,2023-06-04
FACT_000012,EVENT__taka_depreciation_raises_import_costs__2023-06-05,2023-06-05
FACT_000028,EVENT__taka_depreciation_raises_costs__2023-06-05,2023-06-05
FACT_000022,EVENT__production_disruptions_reduce_exports__2023-06-06,2023-06-06
FACT_000004,EVENT__depreciation_raises_buying_price__2023-06-07,2023-06-07
FACT_000010,EVENT__call_for_import_substitution__2023-06-07,2023-06-07
FACT_000005,EVENT__dollar_crunch_limits_lcs__2023-06-14,2023-06-14
FACT_000006,EVENT__power_sector_aggravates_dollar__2023-06-14,2023-06-14
FACT_000008,EVENT__lng_import_agreement_signed__2023-06-19,2023-06-19
FACT_000026,EVENT__government_permission_triggered_imports__2023-07-03,2023-07-03
FACT_000023,EVENT__62_import_tariff__2023-07-14,2023-07-14
FACT_000001,EVENT__strong_net_exports__2023-07-19,2023-07-19
FACT_000024,EVENT__imports_fell_sharply__2023-07-19,2023-07-19
