fact_id,feature_name,canonical_feature_entity,feature_entity_type,feature_description,relation_raw,relation_canonical,relation_polarity,event_summary,event_instance_id,event_instance_label,event_entity_type,article_key,article_url,article_title,article_source,article_date,evidence_text,judge_verdict,judge_reasoning,quote_similarity,provenance_confidence,source_confidence,extraction_confidence,event_start_date,event_end_date,time_source,temporal_granularity,temporal_confidence
FACT_000000,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",reduces imports,decreases,-1,foreign currency crisis and devaluation,EVENT__foreign_currency_crisis_and_devaluation__2023-01-01,foreign currency crisis and devaluation,EventInstance,https://www.bssnews.net/business/102891,https://www.bssnews.net/business/102891,DCCI for PPP to manage sustainable economic recovery | Business,Bangladesh Sangbad Sangstha (BSS),2023-01-01,"resulting in some negative impact on the import of energy, industrial raw materials and supply chain",CONFIRMED,"The article states that the foreign currency crisis and Taka devaluation led to a negative impact on imports of energy and industrial raw materials. This explicitly establishes causality and discusses effects at a national industry level, consistent with a country-level scope.",1.0,0.85,0.85,0.85,2023-01-01,2023-01-01,publication_date_fallback,day,low
FACT_000001,balance_of_trade,Balance_Of_Trade,MacroVariable,The difference between country-wide imports and exports.,contributed to growth,affects,0,strong net exports,EVENT__strong_net_exports__2023-07-19,strong net exports,EventInstance,https://www.bssnews.net/news/137135,https://www.bssnews.net/news/137135,Bangladesh GDP growth higher than forecast for fiscal 2023: ADB | News,Bangladesh Sangbad Sangstha (BSS),2023-07-19,"The Manila-based lending agency also attributed Bangladesh's higher estimate of 6.0 percent for FY2023, which ended on 30 June, to strong net exports and supportive policies.",CONFIRMED,"The exact quote appears and explicitly attributes higher GDP growth to strong net exports, indicating causality. It refers to Bangladesh at the country level, matching the balance_of_trade scope.",1.0,0.85,0.85,0.85,2023-07-19,2023-07-19,publication_date_fallback,day,low
FACT_000002,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",disrupts imports,disrupts,-1,War disrupts supply chains,EVENT__war_disrupts_supply_chains__2023-02-05,War disrupts supply chains,EventInstance,https://www.dailymirror.lk/opinion/Energy-companies-should-share-their-profits-with-badly-affected-countries-Bangladeshi-Foreign-Minister-Dr-A-K-Abdul-Momen/231-253586,https://www.dailymirror.lk/opinion/Energy-companies-should-share-their-profits-with-badly-affected-countries-Bangladeshi-Foreign-Minister-Dr-A-K-Abdul-Momen/231-253586,""" Energy companies should share their profits with badly affected countries."" - Bangladeshi Foreign Minister Dr. A. K. Abdul Momen - Opinion | Daily Mirror",Daily Mirror,2023-02-05,The war and sanctions have disrupted supply chains as well as financial transaction mechanisms.,CONFIRMED,"The article states the war and sanctions disrupted supply chains and financial transactions, and specifically adds that Bangladesh’s purchases of food items (e.g., edible oil from Ukraine) have been disrupted. This explicitly connects the war-induced disruptions to country-level imports.",1.0,0.85,0.85,0.85,2023-02-05,2023-02-05,publication_date_fallback,day,low
FACT_000003,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",halts purchases,affects,0,refuse purchases under sanctions,EVENT__refuse_purchases_under_sanctions__2023-05-14,refuse purchases under sanctions,EventInstance,https://www.bssnews.net/news/pm/125186,https://www.bssnews.net/news/pm/125186,PM calls upon engineers to uphold country's development spree | PM,Bangladesh Sangbad Sangstha (BSS),2023-05-14,Prime Minister Sheikh Hasina said Bangladesh will not purchase anything from any country if it imposes sanctions.,CONFIRMED,"The exact quote appears and explicitly states that if a country imposes sanctions, Bangladesh will not purchase anything from it, implying halted imports from those countries at the national level.",1.0,0.85,0.85,0.85,2023-05-14,2023-05-14,publication_date_fallback,day,low
FACT_000004,currency_log_return,Currency_Exchange_Rate,MacroVariable,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",increases import buying price,increases,1,depreciation raises buying price,EVENT__depreciation_raises_buying_price__2023-06-07,depreciation raises buying price,EventInstance,https://asianews.network/high-inflation-and-power-crisis-pm-hasina-asks-ministries-to-find-a-way-out/,https://asianews.network/high-inflation-and-power-crisis-pm-hasina-asks-ministries-to-find-a-way-out/,High inflation and power crisis: PM Hasina asks ministries to find a way out,ANN,2023-06-07,"""That's why our actual buying price is more than whatever the price is in the international market.""",CONFIRMED,"The quoted sentence appears verbatim and is directly tied to the taka losing value against the dollar, explicitly stating this causes Bangladesh’s actual buying price to exceed international prices, which matches the country-level scope.",0.99,0.8455,0.8455,0.8455,2023-06-07,2023-06-07,publication_date_fallback,day,low
FACT_000005,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",restricts imports,affects,0,dollar crunch limits LCs,EVENT__dollar_crunch_limits_lcs__2023-06-14,dollar crunch limits LCs,EventInstance,https://asianews.network/power-crisis-perils-of-pursuing-the-old-dangerous-path/,https://asianews.network/power-crisis-perils-of-pursuing-the-old-dangerous-path/,Power crisis: Perils of pursuing the old dangerous path,ANN,2023-06-14,"the dollar crunch, which has made it difficult to open letters of credit (LCs) to import fuel and coal.",CONFIRMED,The article explicitly states that the dollar crunch has made it difficult to open LCs to import fuel and coal. This clearly links the dollar crunch to restricted imports at a national/power-sector level.,1.0,0.85,0.85,0.85,2023-06-14,2023-06-14,publication_date_fallback,day,low
FACT_000006,currency_log_return,Currency_Exchange_Rate,MacroVariable,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",aggravates currency crisis,affects,0,power sector aggravates dollar,EVENT__power_sector_aggravates_dollar__2023-06-14,power sector aggravates dollar,EventInstance,https://asianews.network/power-crisis-perils-of-pursuing-the-old-dangerous-path/,https://asianews.network/power-crisis-perils-of-pursuing-the-old-dangerous-path/,Power crisis: Perils of pursuing the old dangerous path,ANN,2023-06-14,energy and power sectors becoming a huge burden on the economy and aggravating the dollar crisis.,CONFIRMED,"The article explicitly states that the energy and power sectors are 'aggravating the dollar crisis,' and the exact quote appears. This is discussed at Bangladesh’s national level, matching the country-level exchange-rate scope.",1.0,0.85,0.85,0.85,2023-06-14,2023-06-14,publication_date_fallback,day,low
FACT_000007,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",reduces imports,decreases,-1,currency crisis hampers imports,EVENT__currency_crisis_hampers_imports__2023-01-02,currency crisis hampers imports,EventInstance,https://thefinancialexpress.com.bd/trade/dcci-pushes-to-ensure-smooth-energy-supply-improve-ease-of-doing-business-in-2023-1672628067,https://thefinancialexpress.com.bd/trade/dcci-pushes-to-ensure-smooth-energy-supply-improve-ease-of-doing-business-in-2023-1672628067,"DCCI pushes to ensure smooth energy supply, improve ease of doing business in 2023",The Financial Express,2023-01-02,"resulting in some negative impact on the import of energy, industrial raw materials and supply chain for local export-oriented industries.",CONFIRMED,"The article states that the foreign currency crisis and Taka devaluation resulted in negative impacts on imports of energy and industrial raw materials, explicitly indicating causality at a national scope. The provided quote closely matches the article’s wording.",1.0,0.85,0.85,0.85,2023-01-02,2023-01-02,publication_date_fallback,day,low
FACT_000008,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",commits to import,affects,0,LNG import agreement signed,EVENT__lng_import_agreement_signed__2023-06-19,LNG import agreement signed,EventInstance,https://www.bssnews.net/business/132184,https://www.bssnews.net/business/132184,Bangladesh inks deal to import LNG from Oman | Business,Bangladesh Sangbad Sangstha (BSS),2023-06-19,Bangladesh has signed an agreement with Omar to import 0.25 to 1.5 million metric tonnes (MMT) of LNG from Oman's OQ Trading on G-to-G basis for ten-year term from 2026.,CONFIRMED,"The article explicitly states Bangladesh signed an agreement to import specified LNG volumes, directly linking the signing to a commitment to import at a national (G-to-G) level.",1.0,0.85,0.85,0.85,2023-06-19,2023-06-19,publication_date_fallback,day,low
FACT_000009,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",increases imports,increases,1,Government measures increased imports,EVENT__government_measures_increased_imports__2023-02-24,Government measures increased imports,EventInstance,https://www.bssnews.net/news-flash/112237,https://www.bssnews.net/news-flash/112237,"Stocks sufficient, no shortage of essential commodities in Ramadan | News Flash",Bangladesh Sangbad Sangstha (BSS),2023-02-24,timely measures of the government have helped increase the imports of consumer goods significantly stabilizing the market with sufficient supply.,CONFIRMED,"The article explicitly states that government measures helped increase imports of consumer goods, and the provided quote appears verbatim. The discussion is at the country level, matching the scope.",1.0,0.85,0.85,0.85,2023-02-24,2023-02-24,publication_date_fallback,day,low
