,json_file,title,date,url,source,feature,edge_label,event_summary,triplet_semantic,quote_similarity,quote_best_match,judge_verdict,judge_reasoning,triplet_date,subject,predicate,object,parse_ok,new_subject,new_predicate,new_object,new_triplet,normalized_direction,normalized_triplet,refined_subject,refined_triplet,attribute
0,llm_response_0021_Bangladesh_Sangbad_Sangstha_BSS_20230601.json,Govt aims to sustain economic recovery: Kamal  | National Budget 2023-2024,2023-06-01,https://www.bssnews.net/national-budget-2023-2024/128488,Bangladesh Sangbad Sangstha (BSS),currency_log_return,increases import costs,foreign exchange depreciation,"2023-06-01, Volatility in the exchange rate (e.g., USD to BDT) affecting import costs. -> increases import costs -> foreign exchange depreciation",1.0,increase in import costs due to post-war global inflation and the depreciation of the country's foreign exchange rate,CONFIRMED,"The article contains the line attributing increased import costs to post-war global inflation and 'the depreciation of the country's foreign exchange rate,' explicitly stating a causal link at the country level.",2023-06-01,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",increases import costs,foreign exchange depreciation,True,Foreign Exchange Depreciation,increases import costs,Import Costs,(Foreign Exchange Depreciation) ── increases import costs ──> (Import Costs),depreciate,(Foreign Exchange Depreciation) ── depreciate ──> (currency_log_return),Bangladesh Foreign Exchange Depreciation,(Bangladesh Foreign Exchange Depreciation) ── depreciate ──> (currency_log_return),"""Bangladesh Foreign Exchange Depreciation: Currency Movement"""
1,llm_response_0026_Daily_Sun_20230115.json,BB unveils 'cautiously accommodative' MPS     | Daily Sun |,2023-01-15,https://www.daily-sun.com/post/668334/BB-unveils-%e2%80%98cautiously-accommodative%e2%80%99-MPS,Daily Sun,currency_log_return,reduces exchange-rate pressure,dissuade non-essential imports,"2023-01-15, Volatility in the exchange rate (e.g., USD to BDT) affecting import costs. -> reduces exchange-rate pressure -> dissuade non-essential imports",0.997,"BB's monetary policy also seeks to promote import-substituting economic activities and dissuade imports of non-essential commodities to reduce the exchange rate pressure,",CONFIRMED,"The article contains the quoted sentence stating BB will 'dissuade imports of non-essential commodities to reduce the exchange rate pressure,' which explicitly links that action as intended to reduce country-level exchange-rate pressure.",2023-01-15,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",reduces exchange-rate pressure,dissuade non-essential imports,True,BB's Monetary Policy,reduces exchange-rate pressure,Exchange Rate Pressure,(BB's Monetary Policy) ── reduces exchange-rate pressure ──> (Exchange Rate Pressure),appreciate,(BB's Monetary Policy) ── appreciate ──> (currency_log_return),Dissuasion of Non-Essential Imports,(Dissuasion of Non-Essential Imports) ── appreciate ──> (currency_log_return),"""Dissuasion of Non-Essential Imports: Monetary Policy"""
2,llm_response_0093_ANN_20230420.json,Is renewable deployment suffering from fossil fuel lock-in?,2023-04-20,https://asianews.network/is-renewable-deployment-suffering-from-fossil-fuel-lock-in/,ANN,currency_log_return,reduces ability to pay for imports,US dollar crisis limits imports,"2023-04-20, Volatility in the exchange rate (e.g., USD to BDT) affecting import costs. -> reduces ability to pay for imports -> US dollar crisis limits imports",1.0,whether Bangladesh will be able to pay for the imported energy to fulfil its demand amid the US dollar crisis,CONFIRMED,"The article contains the quoted sentence nearly verbatim and explicitly links a 'US dollar crisis' (and low FX reserves/high prices) to Bangladesh's ability to pay for imported energy, discussed at the country level.",2023-04-20,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",reduces ability to pay for imports,US dollar crisis limits imports,True,US Dollar Crisis,reduces ability to pay for imports,Imported Energy,(US Dollar Crisis) ── reduces ability to pay for imports ──> (Imported Energy),depreciate,(US Dollar Crisis) ── depreciate ──> (currency_log_return),US Dollar Shortage,(US Dollar Shortage) ── depreciate ──> (currency_log_return),"""US Dollar Shortage: Monetary Policy"""
3,llm_response_0119_Bangladesh_Sangbad_Sangstha_BSS_20230618.json,BB announces 'contractionary' MPS with focus on taming inflation  | News Flash,2023-06-18,https://www.bssnews.net/news-flash/131924,Bangladesh Sangbad Sangstha (BSS),currency_log_return,promotes FX stability,adopt unified exchange rate,"2023-06-18, Volatility in the exchange rate (e.g., USD to BDT) affecting import costs. -> promotes FX stability -> adopt unified exchange rate",1.0,"BB will no longer quote specific rates for buying or selling foreign exchanges, promoting stability in the foreign exchange market, he added.",CONFIRMED,"The article contains the quoted sentence verbatim and explicitly states that BB will stop quoting specific buy/sell rates, 'promoting stability in the foreign exchange market,' which asserts a cause-and-effect for the national (country-level) exchange-rate regime change.",2023-06-18,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",promotes FX stability,adopt unified exchange rate,True,Adoption of Unified Exchange Rate,promotes FX stability,Foreign Exchange Market,(Adoption of Unified Exchange Rate) ── promotes FX stability ──> (Foreign Exchange Market),stable,(Adoption of Unified Exchange Rate) ── stable ──> (currency_log_return),Bangladesh Bank Unified Exchange Rate Policy,(Bangladesh Bank Unified Exchange Rate Policy) ── stable ──> (currency_log_return),"""Bangladesh Bank: Monetary Policy"", ""Unified Exchange Rate Policy: Monetary Policy"""
4,llm_response_0173_Al_Jazeera_Online_20230608.json,Bangladesh suffers long power cuts amid worst heatwave in decades,2023-06-08,https://www.aljazeera.com/news/2023/6/8/bangladesh-suffers-long-power-cuts-amid-worst-heatwave-in-decades,Al Jazeera Online,currency_log_return,impairs fuel imports,taka depreciation impacts imports,"2023-06-08, Volatility in the exchange rate (e.g., USD to BDT) affecting import costs. -> impairs fuel imports -> taka depreciation impacts imports",1.0,unable to import fuel due to a decline in foreign exchange reserves and the depreciating value of the Bangladeshi taka,CONFIRMED,"The article contains the sentence stating the government is ""unable to import fuel due to a decline in foreign exchange reserves and the depreciating value of the Bangladeshi taka,"" which explicitly links taka depreciation (and falling forex reserves) as the cause of impaired fuel imports at the national level.",2023-06-08,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",impairs fuel imports,taka depreciation impacts imports,True,Taka Depreciation,impairs fuel imports,Fuel Imports,(Taka Depreciation) ── impairs fuel imports ──> (Fuel Imports),depreciate,(Taka Depreciation) ── depreciate ──> (currency_log_return),Bangladeshi Taka Depreciation,(Bangladeshi Taka Depreciation) ── depreciate ──> (currency_log_return),"""Decline in Foreign Exchange Reserves: Monetary Policy"", ""Bangladeshi Taka Depreciation: Currency Movement"""
5,llm_response_0205_ANN_20230110.json,Overcoming looming economic challenges in 2023,2023-01-10,https://asianews.network/overcoming-looming-economic-challenges-in-2023/,ANN,currency_log_return,drives depreciation,dollar supply shortage,"2023-01-10, Volatility in the exchange rate (e.g., USD to BDT) affecting import costs. -> drives depreciation -> dollar supply shortage",1.0,Policymakers have kept the taka artificially stronger against the dollar for a long time by injecting US dollars into the market.,CONFIRMED,"The article contains the exact sentence stating that policymakers kept the taka 'artificially stronger against the dollar by injecting US dollars into the market,' which explicitly asserts a causal link at the national (Bangladesh) exchange-rate level.",2023-01-10,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",drives depreciation,dollar supply shortage,True,US Dollar Injection,artificially strengthens,Bangladeshi Taka,(US Dollar Injection) ── artificially strengthens ──> (Bangladeshi Taka),appreciate,(US Dollar Injection) ── appreciate ──> (currency_log_return),Bangladesh Bank Dollar Injections,(Bangladesh Bank Dollar Injections) ── appreciate ──> (currency_log_return),"""Bangladesh Bank Dollar Injections: Monetary Policy"""
6,llm_response_0205_ANN_20230110.json,Overcoming looming economic challenges in 2023,2023-01-10,https://asianews.network/overcoming-looming-economic-challenges-in-2023/,ANN,currency_log_return,artificially strengthens,US dollar injection,"2023-01-10, Volatility in the exchange rate (e.g., USD to BDT) affecting import costs. -> artificially strengthens -> US dollar injection",1.0,Policymakers have kept the taka artificially stronger against the dollar for a long time by injecting US dollars into the market.,CONFIRMED,"The article contains the exact sentence stating that policymakers kept the taka 'artificially stronger against the dollar by injecting US dollars into the market,' which explicitly asserts a causal link at the national (Bangladesh) exchange-rate level.",2023-01-10,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",artificially strengthens,US dollar injection,True,US Dollar Injection,artificially strengthens,Bangladeshi Taka,(US Dollar Injection) ── artificially strengthens ──> (Bangladeshi Taka),appreciate,(US Dollar Injection) ── appreciate ──> (currency_log_return),Bangladesh Foreign Exchange Interventions,(Bangladesh Foreign Exchange Interventions) ── appreciate ──> (currency_log_return),"""Bangladesh Foreign Exchange Interventions: Monetary Policy"""
7,llm_response_0209_Bangladesh_Sangbad_Sangstha_BSS_20230607.json,FBCCI president urges govt to extend support to import-substitute industries | Business,2023-06-07,https://www.bssnews.net/business/129745,Bangladesh Sangbad Sangstha (BSS),currency_log_return,fails to reduce,import-cutting policy fails,"2023-06-07, Volatility in the exchange rate (e.g., USD to BDT) affecting import costs. -> fails to reduce -> import-cutting policy fails",0.99,"""So, the Bangladesh Bank's move only to cut imports is not a solution to reduce stress on the dollar,""",CONFIRMED,"The exact quote appears in the article. It explicitly states that cutting imports 'is not a solution to reduce stress on the dollar,' asserting a causal claim that the import-cutting policy fails to reduce exchange-rate pressure, and the context (Bangladesh Bank, Taka per dollar) is at the national currency level.",2023-06-07,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",fails to reduce,import-cutting policy fails,True,Bangladesh Bank's Import Cuts,fails to reduce,Stress on the Dollar,(Bangladesh Bank's Import Cuts) ── fails to reduce ──> (Stress on the Dollar),depreciate,(Bangladesh Bank's Import Cuts) ── depreciate ──> (currency_log_return),Bangladesh Bank Import Restrictions,(Bangladesh Bank Import Restrictions) ── depreciate ──> (currency_log_return),"""Bangladesh Bank: Monetary Policy"", ""Import Restrictions: Trade Policy"""
8,llm_response_0244_Bangladesh_Sangbad_Sangstha_BSS_20230605.json,Price fall in large-cap drives stocks down | Business,2023-06-05,https://www.bssnews.net/business/129269,Bangladesh Sangbad Sangstha (BSS),stock_market_close,driven by large-cap price falls,DSE and CSE plunged,"2023-06-05, The performance of the equity market (e.g., DSE Index), proxy for investor confidence. -> driven by large-cap price falls -> DSE and CSE plunged",1.0,"Country's both the bourses, Dhaka Stock Exchange (DSE) and Chittagong Stock Exchange (CSE) - today plunged due to mainly price fall in large-cap securities.",CONFIRMED,"The article contains the exact sentence stating the bourses 'plunged due to mainly price fall in large-cap securities,' which explicitly asserts a cause-and-effect link and refers to both national exchanges (DSE and CSE), matching the claimed scope.",2023-06-05,"The performance of the equity market (e.g., DSE Index), proxy for investor confidence.",driven by large-cap price falls,DSE and CSE plunged,True,Large-cap price falls,driven by large-cap price falls,DSE and CSE,(Large-cap price falls) ── driven by large-cap price falls ──> (DSE and CSE),fall,(Large-cap price falls) ── fall ──> (stock_market_close),Price Decline in Large-Cap Securities,(Price Decline in Large-Cap Securities) ── fall ──> (stock_market_close),"""Price Decline in Large-Cap Securities: Market Dynamics"""
9,llm_response_0274_Prothomalo_20230604.json,"Global prices fall, no  impact on local market woes",2023-06-04,https://en.prothomalo.com/business/local/1q4bvruzz4,Prothomalo,currency_log_return,fuels inflation,dollar appreciation causes inflation,"2023-06-04, Volatility in the exchange rate (e.g., USD to BDT) affecting import costs. -> fuels inflation -> dollar appreciation causes inflation",0.993,"Inflation in the country is now caused by the appreciation of the dollar,",CONFIRMED,"The article contains the exact sentence 'Inflation in the country is now caused by the appreciation of the dollar...' which explicitly attributes country-level inflation to dollar appreciation, matching the claimed causal relationship and scope.",2023-06-04,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",fuels inflation,dollar appreciation causes inflation,True,Dollar appreciation,fuels inflation,Inflation in the country,(Dollar appreciation) ── fuels inflation ──> (Inflation in the country),appreciate,(Dollar appreciation) ── appreciate ──> (currency_log_return),U.S. Dollar Appreciation,(U.S. Dollar Appreciation) ── appreciate ──> (currency_log_return),"""U.S. Dollar Appreciation: Currency Movement"""
